评论内容,点赞数,评分,tokens,点赞权值,评分情感,sentiment_prediction_snownlp,sentiment_snownlp,sentiment_prediction_LSTM,sentiment_LSTM
"感觉逻辑清晰,老师讲的很有代入感,当然
希望这么好的课程 不!要!下!线!啊!",474,5.0,"['逻辑', '清晰', '代入', '感', '希望', '好', '线']",53.40188103228206,1,0.9987475598929879,1,"[0.9860728979110718, 0.014051724225282669]",1
"我爱C语言，我喜欢翁恺老师的课，我学这门课不是为了学习知识，一种对C语言和我喜欢的老师的情怀。请注意，我不是在开玩笑，而是真话。C语言是我接触的第二门计算机语言，也是向我打开计算机世界的一门语言，它小巧、简介、表达力丰富，有很多的软件都是以C语言写作完成的。翁恺老师是我在2010年接触到的，当时，我们学校的图书馆有一个视频教程，就是翁老师i讲解的，讲的是web系统制作的技术，我仔细听过这门视频课程，发现翁老师对教育、对计算机充满了热情，我能感受到老师对计算机的热爱，我被他深深的感染了，之后我陆续从网上跟着老师的视频教程学习了C  、Java等课程。看到这门《C语言程序设计进阶》的时候，我也就顺利成章的学习了。感谢翁老师，虽然没有谋面，但是他的真诚、热情已经深深的影响了一个北京的学生的学业和事业。目前我在中国科学院工作，是一名工程师，我热爱我的工作，这种热爱是受到翁老师的感染而加深了的。
",408,5.0,"['爱', '喜欢', '翁恺', '课', '我学', '这门', '课', '知识', '一种', '喜欢', '情怀', '请', '开玩笑', '真话', '接触', '门', '计算机', '语言', '打开', '计算机', '世界', '一门', '语言', '小巧', '简介', '表达力', '软件', '写作', '翁恺', '年', '接触', '学校', '图书馆', '视频教程', '翁', '讲解', '系统', '制作', '技术', '仔细听', '这门', '视频', '发现', '翁', '教育', '计算机', '充满', '热情', '我能', '感受', '计算机', '热爱', '深深', '感染', '陆续', '网上', '跟着', '视频教程', '这门', '程序设计', '进阶', '顺利', '成章', '感谢', '翁', '谋面', '真诚', '热情', '深深', '影响', '北京', '学生', '学业', '事业', '中国科学院', '工作', '一名', '工程师', '热爱', '工作', '热爱', '翁', '感染', '加深']",47.122638143188404,1,1.0,1,"[0.9554409384727478, 0.04314989969134331]",1
这些东西都是人写出来的，大家都是一个大脑，现在你写不出来，只是你还有东西不知道。,268,5.0,"['东西', '写', '大脑', '写', '东西']",33.30520509818531,1,0.11419483383543994,-1,"[0.9842956066131592, 0.01630261540412903]",1
"# include<stdio.h> 
int main(){
   printf(""好好好！"")
return0;
}
",256,5.0,"['好好', '好']",32.07997873559536,1,0.2453218269694878,-1,"[0.9900923371315002, 0.009912350215017796]",1
"超级好的课！！！
本人10年大学毕业，一直从事互联网产品、运营类工作。今年想自学一些编程知识，终于找到翁老师的课，深入浅出，逻辑清晰，0基础学习最好课程。

-----------------------期待翁老师后续能多出一些课程。-------------------------

顺便说一句，评价说好的那些童靴们~内容说着好，结果还尽然打个……3星的……你们要求高没关系，希望别因此影响了后面同学的选择，而错过了这么好的课程，走了弯路，浪费了他们的学习时间。
感谢翁老师，感谢网易，感谢高教社。",215,5.0,"['超级', '好', '课', '年', '大学毕业', '互联网', '产品', '运营', '类', '工作', '想', '自学', '编程', '知识', '终于', '找到', '翁', '课', '深入浅出', '逻辑', '清晰', '基础', '期待', '翁', '后续', '多出', '顺便', '说', '一句', '评价', '说好', '童靴们', '说', '好', '打个', '星', '高', '没关系', '希望', '影响', '选择', '错过', '好', '走', '弯路', '浪费', '时间', '感谢', '翁', '感谢', '网易', '感谢', '高教', '社']",27.829488401376096,1,0.9999999999998272,1,"[0.9967429041862488, 0.0031843024771660566]",1
本人在校2本大学生，学习机械专业，一心想掌握高超的电脑技术，在慕课平台上找到了一片乐土，翁恺老师讲课平易近人，通俗易懂，在学习了浙大c基础入门后，继续学习进阶课程，我对这位老师的教学能力有着极高的评价，我也会在计算机技术这条路上继续努力，将来有出息我会去拜访翁老师，感谢您的培养！最后祝老师身体健康，工作顺利，桃李满天下，四海皆学子！,151,5.0,"['在校', '大学生', '机械', '专业', '心想', '高超', '电脑', '技术', '慕课', '平台', '找到', '乐土', '翁恺', '讲课', '平易近人', '通俗易懂', '浙大', '基础', '入门', '进阶', '这位', '教学', '能力', '极高', '评价', '计算机技术', '条', '路上', '努力', '将来', '出息', '我会', '拜访', '翁', '感谢您', '培养', '祝', '身体健康', '工作', '顺利', '桃李满天下', '四海', '皆', '学子']",20.944174859422233,1,1.0,1,"[0.6428301334381104, 0.3590550124645233]",1
听了这课让我一个生科院的想考浙大计算机系,88,5.0,"['听', '这课', '生科院', '想', '考', '浙大', '计算机系']",13.709490753929458,1,0.9508564711526427,1,"[0.45121505856513977, 0.5575301647186279]",0
浙大也许是一生的梦想吧，感谢Mooc,69,5.0,"['浙大', '也许', '一生', '梦想', '感谢']",11.38258185901439,1,0.9868278911718312,1,"[0.9584196209907532, 0.04112372547388077]",1
我说这是五星 谁赞成谁反对？,43,5.0,"['说', '五星', '赞成', '反对']",8.011867620677283,1,0.13804380102661862,-1,"[0.8410055041313171, 0.16201314330101013]",1
老师的厉害在哪呢？首先我感觉老师对计算机程序有着非常的了解，在上课的时候我感觉到了老师对全局的把握，而且以一种计算机思维来引导我们学习，或许正是他的引导，当我们以后成为一名优秀的程序员到时候，会感激这样的引导，这样的循序渐进的思维。第二我想说的是老师室友自己独特的人格魅力的，厉害的老师不多，但又有这样的情怀的老师更少。别的都不多说了，我一直都在看这个课。也为C语言的初学者推荐一下，或许这是你C语言最宝贵的入门。,37,5.0,"['厉害', '计算机程序', '上课', '全局', '把握', '一种', '计算机', '思维', '引导', '引导', '一名', '优秀', '程序员', '到时候', '感激', '引导', '循序渐进', '思维', '想', '说', '室友', '独特', '人格魅力', '厉害', '情怀', '少', '说', '课', '初学者', '推荐', '宝贵', '入门']",7.189613661641061,1,1.0,1,"[0.991489827632904, 0.007636003661900759]",1
